"Story","Title","Result","Date","Stability","Duration (s)"
"Como administrados quiero filtrar las reservas por id","04 - como administrador necesito filtrar las reservas pot id","SUCCESS","2023-01-05T10:52:56.5942816-05:00[America/Bogota]","0.0","4.82"
"Como usuario del aplicativo","03 - como usuario necesito crear una reserva exitosa","SUCCESS","2023-01-05T10:53:20.3404382-05:00[America/Bogota]","0.0","4.15"
